product_url,price,product_name
https://www.liveyoursport.com/products/fitbit-charge-2-accessory-sport-band-coral-small-black,"Rs 5,997.00",Fitbit Charge 2 Accessory Sport Band Coral Small Black*
https://www.liveyoursport.com/products/fitbit-charge-2-accessory-sport-band-coral-small-blue,"Rs 5,997.00",Fitbit Charge 2 Accessory Sport Band Coral Small Blue*
https://www.liveyoursport.com/products/fitbit-charge-2-heart-rate-fitness-wristband-black-large-international-version-gunmetal,"Rs 26,749.00",Fitbit Charge 2 Heart Rate Fitness Wristband Black Large International Version Gunmetal*
https://www.liveyoursport.com/products/fitbit-charge-2-heart-rate-fitness-wristband-black-large-us-version-black,"Rs 23,026.00",Fitbit Charge 2 Heart Rate Fitness Wristband Black Large US Version Black*
https://www.liveyoursport.com/products/fitbit-charge-2-heart-rate-fitness-wristband-black-large-us-version-blue,"Rs 44,352.00",Fitbit Charge 2 Heart Rate Fitness Wristband Black Large US Version Blue*
https://www.liveyoursport.com/products/fitbit-charge-2-heart-rate-fitness-wristband-black-large-us-version-plum,"Rs 22,803.00",Fitbit Charge 2 Heart Rate Fitness Wristband Black Large US Version Plum*
https://www.liveyoursport.com/products/fitbit-charge-2-heart-rate-fitness-wristband-black-large-us-version-special-edition-gunmetal,"Rs 27,497.00",Fitbit Charge 2 Heart Rate Fitness Wristband Black Large US Version Special Edition Gunmetal*
https://www.liveyoursport.com/products/fitbit-charge-2-heart-rate-fitness-wristband-black-large-us-version-special-edition-lavender-rose-gold,"Rs 27,326.00",Fitbit Charge 2 Heart Rate Fitness Wristband Black Large US Version Special Edition Lavender Rose Gold*
https://www.liveyoursport.com/products/fitbit-charge-2-heart-rate-fitness-wristband-black-large-us-version-teal,"Rs 22,992.00",Fitbit Charge 2 Heart Rate Fitness Wristband Black Large US Version Teal*
https://www.liveyoursport.com/products/fitness-tracker-morefit-slim-hr-heart-rate-touch-screen-activity-tracker-wireless-smart-bracelet-pedometer-silver-blue,"Rs 5,659.00",Fitness Tracker MoreFit Slim HR Heart Rate Touch Screen Activity Tracker Wireless Smart Bracelet Pedometer Silver/ Blue*
https://www.liveyoursport.com/products/fitness-tracker-morefit-slim-hr-heart-rate-touch-screen-activity-tracker-wireless-smart-bracelet-pedometer-silver-black,"Rs 5,659.00",Fitness Tracker MoreFit Slim HR Heart Rate Touch Screen Activity Tracker Wireless Smart Bracelet Pedometer Silver/Black*
https://www.liveyoursport.com/products/fitness-tracker-morefit-slim-hr-heart-rate-touch-screen-activity-tracker-wireless-smart-bracelet-pedometer-silver-blush,"Rs 5,659.00",Fitness Tracker MoreFit Slim HR Heart Rate Touch Screen Activity Tracker Wireless Smart Bracelet Pedometer Silver/Blush*
https://www.liveyoursport.com/products/fitness-tracker-morefit-slim-hr-heart-rate-touch-screen-activity-tracker-wireless-smart-bracelet-pedometer-silver-purple,"Rs 5,659.00",Fitness Tracker MoreFit Slim HR Heart Rate Touch Screen Activity Tracker Wireless Smart Bracelet Pedometer Silver/Purple*
https://www.liveyoursport.com/products/fitness-tracker-morefit-slim-hr-heart-rate-touch-screen-activity-tracker-wireless-smart-bracelet-pedometer-silver-teal,"Rs 5,659.00",Fitness Tracker MoreFit Slim HR Heart Rate Touch Screen Activity Tracker Wireless Smart Bracelet Pedometer Silver/Teal*
